id,title,authors,date,artifact_type,topic_tags,source_url,source_owner,source_class,publication_state,ingest_mode,rights_note
"pub-mental-denial-of-service-2025-05-28","Mental Denial of Service: Narrative Malware and the Future of Resilience","Chris Blask","2025-05-28","article","narrative-security|denial-of-service|resilience|information-warfare","https://securityboulevard.com/2025/05/mental-denial-of-service-narrative-malware-and-the-future-of-resilience/","Security Boulevard","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"media-inevitability-01","The Evolution of Information Warfare - The Inevitability Curve EP1","Chris Blask|Winn Schwartau","2025-01-10","video_episode","information-warfare|cybersecurity-history","https://techstrong.tv/videos/the-inevitability-curve/the-evolution-of-information-warfare-the-inevitability-curve-ep1","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media."
"media-inevitability-02","AI and Critical Infrastructure - The Inevitability Curve EP2","Chris Blask|Tim Roxey","2025-01-12","video_episode","ai|critical-infrastructure|ot-security","https://techstrong.tv/videos/the-inevitability-curve/ai-and-critical-infrastructure-the-inevitability-curve-ep2","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media."
"media-inevitability-12","Marine Systems and Cyber Conflict - The Inevitability Curve EP12","Chris Blask","2025-01-28","video_episode","marine-systems|ot-security|cyber-conflict","https://techstrong.tv/videos/the-inevitability-curve/marine-systems-and-cyber-conflict-the-inevitability-curve-ep12","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media; guest metadata omitted because source records have conflicted."
"media-inevitability-13","Software Supply Chains and ISACs - The Inevitability Curve EP13","Chris Blask|Phil Englert","2025-01-28","video_episode","software-supply-chain|sbom|isac|information-sharing","https://techstrong.tv/videos/the-inevitability-curve/software-supply-chains-and-isacs-the-inevitability-curve-ep13","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media."
"media-inevitability-15","Seeking the Recursive BOM of Truth - The Inevitability Curve EP15","Chris Blask|Dennis Devlin","2025-05-15","video_episode","dbom|provenance|recursive-bom|trust","https://techstrong.tv/videos/the-inevitability-curve/seeking-the-recursive-bom-of-truth-the-inevitability-curve-ep15","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media."
"media-inevitability-18","The Evolution of AI in Cybersecurity - The Inevitability Curve EP18","Chris Blask|Casey Ellis","2025-06-06","video_episode","ai-security|cybersecurity-history|agents","https://techstrong.tv/videos/the-inevitability-curve/the-evolution-of-ai-in-cybersecurity-the-inevitability-curve-podcast-ep18","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media."
"media-rsac-world-on-sboms-2023","The World on SBOMs","Chris Blask|Kate Stewart","2023-04-25","conference_session","sbom|software-supply-chain|transparency|risk-management","https://www.rsaconference.com/library/presentation/usa/2023/the-world-on-sboms","RSA Conference","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_or_media_only_after_rights_verification","External conference/publisher material."
"media-tsg-ai-weapon-2026-08-04","AI Is Now a Weapon: Supply-Chain Attacks, Rogue Agents and the EU AI Act Crackdown","Chris Blask","2026-08-04","video_episode","ai-security|supply-chain|agents|regulation","https://techstrong.tv/videos/techstrong-gang/ai-weapon-supply-chain-attacks-eu-ai-act-crackdown","Techstrong TV","external_publisher","confirmed_public","metadata_and_canonical_link; transcript_or_full_text_only_after_rights_verification","External publisher-owned media."
"github-dbom-core-readme","DBoM Core - repository overview","QuietWire contributors","","github_document","dbom|sbom|provenance|attestation","https://github.com/QuietWire-Civic-AI/dbom-core/blob/main/README.md","QuietWire-Civic-AI","quietwire_public_github","public_repository","canonical_link; full_text_subject_to_repository_license_verification","Repository declares Apache License 2.0; verify current LICENSE and source revision."
"github-dbom-why","Why DBoM Exists","QuietWire contributors","","github_document","dbom|software-supply-chain|provenance|history","https://github.com/QuietWire-Civic-AI/dbom-core/blob/main/docs/Why_DBoM_Exists.md","QuietWire-Civic-AI","quietwire_public_github","public_repository","canonical_link; full_text_subject_to_repository_license_verification","Repository declares Apache License 2.0; verify current LICENSE and source revision."
"github-dbom-scitt-adapter","SCITT Adapter for DBoM","QuietWire contributors","","github_document","scitt|dbom|attestation|receipts|provenance","https://github.com/QuietWire-Civic-AI/dbom-core/blob/main/examples/SCITT_Adapter.md","QuietWire-Civic-AI","quietwire_public_github","public_repository","canonical_link; full_text_subject_to_repository_license_verification","Repository declares Apache License 2.0; verify current LICENSE and source revision."
"github-sbom-attestation-demo","SBOM Attestation Demo","QuietWire contributors","","github_document","sbom|attestation|supply-chain|demo","https://github.com/QuietWire-Civic-AI/SBOM_Attestation_Demo/blob/main/README.md","QuietWire-Civic-AI","quietwire_public_github","public_repository","canonical_link; full_text_only_after_repository_rights_verification","Public repository visibility alone is not a reuse license; verify repository licensing before mirroring."
"github-nidp-legal-ethics","NIDP Legal and Ethics Governance","QuietWire contributors","","github_document","governance|ip-rights|data-protection|provenance","https://github.com/QuietWire-Civic-AI/NIDP/blob/main/governance/legal_ethics.md","QuietWire-Civic-AI","quietwire_public_github","public_repository_restrictive_license","metadata_and_canonical_link_only unless explicit full-text permission is confirmed","NIDP repository license is explicitly restrictive/all-rights-reserved pending a future license."
"github-nidp-cap-integration","NIDP / CAP Integration Guide","QuietWire contributors","","github_document","evidence|provenance|verification|approvals|integration","https://github.com/QuietWire-Civic-AI/NIDP/blob/main/docs/NIDP_CAP_Integration_Guide.md","QuietWire-Civic-AI","quietwire_public_github","public_repository_restrictive_license","metadata_and_canonical_link_only unless explicit full-text permission is confirmed","NIDP repository license is explicitly restrictive/all-rights-reserved pending a future license."
